RXCUI,drug_name,therapeutic_subgroup,n_plans_total,rate_pa,rate_st,rate_ql,rate_pa_only,rate_pa_st,rate_pa_ql,rate_triple,rate_none,n_plans_pa,n_plans_st,n_plans_ql,n_plans_triple
312821,rifampin 600 MG Injection,ANTIMYCOBACTERIALS,5085,0.0019665683382497543,0.0,0.0,0.0019665683382497543,0.0,0.0,0.0,0.9980334316617503,10,0,0,0
312817,ribavirin 200 MG Oral Capsule,ANTIVIRALS FOR SYSTEMIC USE,4038,0.0029717682020802376,0.0,0.023278850916295196,0.0029717682020802376,0.0,0.0,0.0,0.9737493808816245,12,0,94,0
312750,quinapril 5 MG Oral Tablet,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,4969,0.0,0.0,0.008653652646407727,0.0,0.0,0.0,0.0,0.9913463473535923,0,0,43,0
312749,quinapril 20 MG Oral Tablet,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,4969,0.0,0.0,0.008653652646407727,0.0,0.0,0.0,0.0,0.9913463473535923,0,0,43,0
312748,quinapril 10 MG Oral Tablet,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,4969,0.0,0.0,0.008653652646407727,0.0,0.0,0.0,0.0,0.9913463473535923,0,0,43,0
312745,quetiapine 300 MG Oral Tablet,PSYCHOLEPTICS,5085,0.043067846607669616,0.0,0.8237954768928221,0.0,0.0,0.043067846607669616,0.0,0.17620452310717796,219,0,4189,0
312744,quetiapine 25 MG Oral Tablet,PSYCHOLEPTICS,5085,0.043067846607669616,0.0,0.8296951819075713,0.0,0.0,0.043067846607669616,0.0,0.1703048180924287,219,0,4219,0
311984,24 HR nisoldipine 20 MG Extended Release Oral Tablet,CALCIUM CHANNEL BLOCKERS,1193,0.0,0.0,0.013411567476948869,0.0,0.0,0.0,0.0,0.9865884325230512,0,0,16,0
312641,progesterone 200 MG Oral Capsule,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,4882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
312635,prochlorperazine 5 MG Oral Tablet,PSYCHOLEPTICS,5085,0.168141592920354,0.0,0.0,0.168141592920354,0.0,0.0,0.0,0.831858407079646,855,0,0,0
312617,prednisone 5 MG Oral Tablet,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",5085,0.4849557522123894,0.0,0.0,0.4849557522123894,0.0,0.0,0.0,0.5150442477876106,2466,0,0,0
312615,prednisone 20 MG Oral Tablet,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",5085,0.4849557522123894,0.0,0.0,0.4849557522123894,0.0,0.0,0.0,0.5150442477876106,2466,0,0,0
